epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.7609,1.1197,0.85,1,0.55359,0.000411111,0.000411111,0.000411111
2,38.4213,0.5201,0.915,1,0.25325,0.000811388,0.000811388,0.000811388
3,57.8063,0.33328,0.945,1,0.19493,0.00119516,0.00119516,0.00119516
4,77.2785,0.27209,0.94,1,0.19586,0.00117575,0.00117575,0.00117575
5,96.2385,0.24444,0.93,1,0.1679,0.001151,0.001151,0.001151
6,112.785,0.19446,0.945,1,0.19565,0.00112625,0.00112625,0.00112625
7,133.208,0.22626,0.97,1,0.16162,0.0011015,0.0011015,0.0011015
8,152.269,0.1459,0.96,1,0.21432,0.00107675,0.00107675,0.00107675
9,171.183,0.14873,0.92,1,0.31518,0.001052,0.001052,0.001052
10,188.98,0.13292,0.95,1,0.20988,0.00102725,0.00102725,0.00102725
11,208.697,0.10932,0.955,1,0.19534,0.0010025,0.0010025,0.0010025
12,227.329,0.11932,0.965,1,0.1425,0.00097775,0.00097775,0.00097775
13,246.361,0.10637,0.96,1,0.13319,0.000953,0.000953,0.000953
14,264.75,0.08509,0.975,1,0.12266,0.00092825,0.00092825,0.00092825
15,285.054,0.085,0.965,1,0.13995,0.0009035,0.0009035,0.0009035
16,305.486,0.07063,0.965,1,0.12831,0.00087875,0.00087875,0.00087875
17,323.858,0.09113,0.965,1,0.1613,0.000854,0.000854,0.000854
18,342.512,0.08262,0.96,1,0.16727,0.00082925,0.00082925,0.00082925
19,361.759,0.05994,0.965,1,0.21451,0.0008045,0.0008045,0.0008045
20,380.389,0.05655,0.965,1,0.18409,0.00077975,0.00077975,0.00077975
21,399.084,0.05163,0.97,1,0.10352,0.000755,0.000755,0.000755
22,418.795,0.06188,0.965,1,0.11473,0.00073025,0.00073025,0.00073025
23,437.314,0.06896,0.96,1,0.13161,0.0007055,0.0007055,0.0007055
24,456.829,0.06532,0.965,1,0.10742,0.00068075,0.00068075,0.00068075
